rusher_player_name,ydstogo,yards_gained,seconddown,thirddown,fourthdown
J.Conner,10.0,3.0,0,0,0
J.Conner,1.0,2.0,1,0,0
J.Conner,10.0,2.0,0,0,0
J.Conner,8.0,2.0,1,0,0
J.Conner,10.0,-3.0,1,0,0
K.Murray,13.0,6.0,0,1,0
J.Conner,9.0,4.0,0,0,0
J.Cook,10.0,9.0,0,0,0
J.Cook,1.0,3.0,1,0,0
J.Conner,10.0,4.0,0,0,0
K.Murray,10.0,11.0,0,0,0
J.Conner,7.0,1.0,1,0,0
J.Cook,10.0,15.0,0,0,0
J.Cook,10.0,5.0,0,0,0
J.Cook,10.0,9.0,0,0,0
J.Cook,1.0,4.0,1,0,0
J.Cook,8.0,4.0,0,0,0
J.Cook,4.0,0.0,1,0,0
T.Benson,5.0,6.0,1,0,0
K.Murray,6.0,12.0,0,1,0
T.Benson,10.0,4.0,0,0,0
T.Benson,10.0,3.0,0,0,0
J.Conner,3.0,3.0,0,0,0
Ty.Johnson,15.0,6.0,0,0,0
J.Allen,15.0,6.0,0,0,0
J.Allen,10.0,7.0,0,0,0
J.Allen,3.0,7.0,1,0,0
K.Murray,10.0,-1.0,0,0,0
J.Cook,10.0,1.0,0,0,0
J.Cook,10.0,-2.0,0,0,0
R.Davis,10.0,13.0,0,0,0
R.Davis,10.0,0.0,0,0,0
J.Conner,10.0,2.0,0,0,0
J.Conner,8.0,2.0,1,0,0
R.Davis,7.0,0.0,1,0,0
J.Cook,10.0,1.0,0,0,0
Ty.Johnson,2.0,1.0,0,1,0
J.Allen,1.0,1.0,0,0,1
J.Conner,10.0,3.0,0,0,0
K.Murray,7.0,29.0,0,1,0
J.Conner,10.0,20.0,0,0,0
G.Dortch,10.0,4.0,0,0,0
J.Conner,6.0,2.0,1,0,0
J.Conner,4.0,0.0,0,1,0
J.Cook,10.0,6.0,0,0,0
J.Cook,10.0,1.0,0,0,0
J.Allen,2.0,5.0,0,0,1
J.Cook,10.0,-2.0,0,0,0
J.Allen,6.0,6.0,1,0,0
J.Conner,0.0,2.0,0,0,0
J.Allen,10.0,9.0,0,0,0
J.Cook,1.0,3.0,1,0,0
J.Cook,10.0,-3.0,0,0,0
J.Cook,10.0,9.0,0,0,0
J.Cook,10.0,7.0,0,0,0
J.Cook,3.0,1.0,1,0,0
J.Allen,2.0,-1.0,0,1,0
J.Conner,10.0,3.0,0,1,0
J.Allen,10.0,-1.0,0,0,0
K.Williams,10.0,9.0,0,0,0
K.Williams,1.0,-1.0,1,0,0
J.Conner,10.0,16.0,1,0,0
K.Murray,10.0,6.0,0,0,0
J.Conner,4.0,13.0,1,0,0
K.Williams,10.0,-1.0,0,0,0
K.Williams,3.0,-1.0,1,0,0
J.Conner,18.0,-1.0,0,0,0
J.Conner,10.0,4.0,0,0,0
T.Benson,6.0,1.0,1,0,0
T.Benson,3.0,2.0,1,0,0
J.Conner,1.0,6.0,0,1,0
J.Conner,1.0,4.0,1,0,0
J.Conner,10.0,3.0,0,0,0
J.Conner,7.0,2.0,1,0,0
K.Williams,10.0,1.0,0,0,0
K.Williams,10.0,9.0,0,0,0
K.Williams,1.0,-3.0,1,0,0
K.Murray,10.0,8.0,0,0,0
T.Benson,2.0,4.0,1,0,0
T.Benson,10.0,-1.0,0,0,0
K.Murray,14.0,9.0,0,1,0
J.Conner,10.0,3.0,1,0,0
K.Williams,10.0,2.0,0,0,0
K.Williams,4.0,1.0,0,0,0
J.Conner,1.0,7.0,1,0,0
J.Conner,20.0,5.0,0,0,0
K.Murray,15.0,26.0,1,0,0
J.Conner,10.0,6.0,0,0,0
J.Conner,4.0,22.0,1,0,0
J.Conner,5.0,5.0,1,0,0
K.Williams,10.0,1.0,0,0,0
J.Conner,10.0,-1.0,0,0,0
J.Conner,10.0,2.0,0,0,0
T.Benson,10.0,1.0,0,0,0
T.Benson,9.0,1.0,1,0,0
K.Williams,1.0,4.0,0,0,1
K.Williams,4.0,4.0,0,0,0
